name,WKT
Starbucks,POINT (-80.0534 40.62259)
Starbucks,POINT (-119.72887 36.84899)
Starbucks,POINT (-95.45353 29.74496)
Starbucks,POINT (-96.2186 38.42204)
Starbucks,POINT (-82.60103 34.80266)
Starbucks,POINT (-115.17725 36.17822)
Starbucks,POINT (-87.63725 41.88965)
Starbucks,POINT (-90.46183 30.48109)
Starbucks,POINT (-99.75978 32.43245)
Starbucks,POINT (-75.30763 43.09392)
Starbucks,POINT (-73.98077 40.74179)
Starbucks,POINT (-75.16379 39.95192)
Starbucks,POINT (-87.68202 42.04965)
Starbucks,POINT (-114.44166 32.67187)
Starbucks,POINT (-118.00489 34.14068)
Starbucks,POINT (-78.88362 33.68793)
Starbucks,POINT (-118.28116 34.1653)
Starbucks,POINT (-118.33889 34.0619)
Starbucks,POINT (-78.9478 36.01992)
Starbucks,POINT (-88.19028 30.66158)
Starbucks,POINT (-73.91083 41.59534)
Starbucks,POINT (-96.80368 32.79441)
Starbucks,POINT (-78.92299 35.04721)
Starbucks,POINT (-93.21905 45.03725)
Starbucks,POINT (-77.35206 37.52571)
Starbucks,POINT (-81.82318 41.34802)
Starbucks,POINT (-122.07074 37.37884)
Starbucks,POINT (-85.25935 41.03388)
Starbucks,POINT (-73.08136 41.81938)
Starbucks,POINT (-111.71939 33.29054)
Starbucks,POINT (-81.52648 41.31169)
Starbucks,POINT (-80.64429 34.25015)
Starbucks,POINT (-95.96494 36.13239)
Starbucks,POINT (-78.84737 35.66372)
Starbucks,POINT (-77.0967 38.99338)
Starbucks,POINT (-97.24095 37.5685)
Starbucks,POINT (-110.25566 31.55621)
Starbucks,POINT (-86.30864 41.67309)
Starbucks,POINT (-95.52321 29.5352)
Starbucks,POINT (-98.52747 29.46619)
Starbucks,POINT (-117.4357 47.6805)
Starbucks,POINT (-81.66214 36.20281)
Starbucks,POINT (-122.2226 38.13174)
Starbucks,POINT (-115.75399 49.52516)
Starbucks,POINT (-118.13744 33.79055)
Starbucks,POINT (-110.9571 32.23568)
Starbucks,POINT (-93.22993 45.00479)
Starbucks,POINT (-81.48204 31.20173)
Starbucks,POINT (-95.98694 41.25117)
Starbucks,POINT (-121.6589 37.14822)
Starbucks,POINT (-122.66661 45.7224)
Starbucks,POINT (-89.30767 48.38104)
Starbucks,POINT (-78.64787 35.78843)
Starbucks,POINT (-77.11448 38.88076)
Starbucks,POINT (-81.50515 28.38612)
Starbucks,POINT (-84.09339 35.98256)
Starbucks,POINT (-80.72045 35.36877)
Starbucks,POINT (-81.72205 28.59322)
Starbucks,POINT (-85.48221 41.17156)
Starbucks,POINT (-88.44157 41.65577)
Starbucks,POINT (-98.58831 29.5914)
Starbucks,POINT (-117.94088 33.7889)
Starbucks,POINT (-122.07292 37.87779)
Starbucks,POINT (-104.89553 39.78364)
Starbucks,POINT (-85.13827 41.11854)
Starbucks,POINT (-122.1146 47.5586)
Starbucks,POINT (-78.58058 35.85568)
Starbucks,POINT (-101.90063 35.15961)
Starbucks,POINT (-73.48708 45.41759)
Starbucks,POINT (-89.38282 43.074)
Starbucks,POINT (-79.99084 40.4368)
Starbucks,POINT (-81.75496 26.5297)
Starbucks,POINT (-100.29387 25.65439)
Starbucks,POINT (-117.25125 32.98155)
Starbucks,POINT (-78.9749 35.05514)
Starbucks,POINT (-104.79396 38.94539)
Starbucks,POINT (-104.77617 39.65286)
Starbucks,POINT (-121.62539 39.14125)
Starbucks,POINT (-116.31561 43.58927)
Starbucks,POINT (-157.74815 21.42262)
Starbucks,POINT (-104.92218 39.91357)
Starbucks,POINT (-78.40304 40.47409)
Starbucks,POINT (-82.51948 27.89302)
Starbucks,POINT (-89.79284 35.1434)
Starbucks,POINT (-118.41051 33.94249)
Starbucks,POINT (-77.57628 43.19713)
Starbucks,POINT (-84.78148 37.61736)
Starbucks,POINT (-81.69256 41.49805)
Starbucks,POINT (-111.65832 40.22047)
Starbucks,POINT (-117.7913 33.86113)
Starbucks,POINT (-117.25335 33.17299)
Starbucks,POINT (-114.49731 32.6884)
Starbucks,POINT (-118.12503 34.57953)
Starbucks,POINT (-85.77485 42.97195)
Starbucks,POINT (-117.88479 33.91654)
Starbucks,POINT (-73.98701 40.751)
Starbucks,POINT (-118.15277 33.92415)
Starbucks,POINT (-121.37362 38.42295)
Starbucks,POINT (-70.51359 43.47446)
Starbucks,POINT (-74.01301 40.70689)
Starbucks,POINT (-84.42787 33.98533)
Starbucks,POINT (-117.20402 32.73317)
Starbucks,POINT (-79.03131 43.1715)
Starbucks,POINT (-97.53209 35.60936)
Starbucks,POINT (-96.99063 32.83929)
Starbucks,POINT (-122.03944 47.54854)
Starbucks,POINT (-86.07101 39.97964)
Starbucks,POINT (-121.97229 37.77991)
Starbucks,POINT (-75.71388 39.77288)
Starbucks,POINT (-82.63869 27.78142)
Starbucks,POINT (-98.22577 19.07203)
Starbucks,POINT (-80.4296 27.2683)
Starbucks,POINT (-84.274 37.73137)
Starbucks,POINT (-73.83752 40.82436)
Starbucks,POINT (-87.66086 41.99789)
Starbucks,POINT (-85.72454 43.01848)
Starbucks,POINT (-88.42319 41.37257)
Starbucks,POINT (-117.56515 33.88567)
Starbucks,POINT (-74.1264 41.31631)
Starbucks,POINT (-121.23531 37.79661)
Starbucks,POINT (-105.59461 41.31697)
Starbucks,POINT (-98.28453 19.09725)
Starbucks,POINT (-78.56078 35.79874)
Starbucks,POINT (-97.41177 32.72996)
Starbucks,POINT (-122.64075 38.23466)
Starbucks,POINT (-122.38752 47.54463)
Starbucks,POINT (-94.14584 36.12273)
Starbucks,POINT (-88.07243 44.5916)
Starbucks,POINT (-95.41033 29.75322)
Starbucks,POINT (-122.40608 49.16331)
Starbucks,POINT (-121.40777 38.54944)
Starbucks,POINT (-118.39217 33.86344)
Starbucks,POINT (-115.31945 36.15954)
Starbucks,POINT (-77.55394 43.14975)
Starbucks,POINT (-88.06365 43.08808)
Starbucks,POINT (-75.28696 38.57503)
Starbucks,POINT (-89.78147 43.57611)
Starbucks,POINT (-119.77137 36.80829)
Starbucks,POINT (-96.89604 32.76486)
Starbucks,POINT (-82.62744 34.56082)
Starbucks,POINT (-96.80682 32.789)
Starbucks,POINT (-112.36953 33.63811)
Starbucks,POINT (-98.50698 33.96628)
Starbucks,POINT (-80.32068 25.67754)
Starbucks,POINT (-89.58646 40.67044)
Starbucks,POINT (-77.0565 38.86255)
Starbucks,POINT (-76.15821 40.16545)
